feature,diff_fn_tp,ci_lower_fn_tp,ci_upper_fn_tp,significant_fn_tp,diff_fp_tn,ci_lower_fp_tn,ci_upper_fp_tn,significant_fp_tn
network_packet_size,-0.05492043507988972,-0.058180428717590084,0.053889768640152214,False,-0.02871083490643532,-0.06645403877153777,0.05918237202084545,False
login_attempts,-3.5115083068363884,-1.2309028225498522,1.2056632954714435,True,1.1057462778217184,-0.41730701524772407,0.31823407137606585,True
ip_reputation_score,-2.8969211613757153,-1.0530054044991697,0.9847882212638946,True,0.7010727950489408,-0.35864911277358047,0.2833047225080078,True
failed_logins,-5.697711895949868,-1.477369918211717,1.2261643922741599,True,-0.11275292168861228,-0.2972360034964526,0.24563818612594102,False
unusual_time_access,-0.3214340609940019,-0.12744100076213913,0.12384722535237253,True,-0.2329991963793152,-0.22499418215133365,0.17661330174812792,True
session_duration_log,-0.11931805330056855,-0.0656703396435455,0.05774176753067396,True,-0.1654708095223042,-0.09445143897137241,0.08219217322880547,True
protocol_type_TCP,-0.02330792918669089,-0.11052896227759249,0.09886052251193572,False,0.06431493446485287,-0.20329675352331145,0.19667044673199732,False
protocol_type_UDP,-0.1577489994765708,-0.08040292114905084,0.0783625661493562,True,-0.05104949379061252,-0.13624370937802852,0.10149221190298247,False
encryption_used_DES,-0.08127412814980306,-0.060515134734047946,0.05965371125789625,True,-0.054768936711808255,-0.08079741277677427,0.05647106037631891,False
encryption_used_None,-0.18702504647912332,-0.08380463098117343,0.07118972261889746,True,0.3260301805524335,-0.12138210037097966,0.03125358024099649,True
browser_type_Edge,-0.1388381268561683,-0.06920803114172695,0.062236591441460376,True,-0.10703241536132861,-0.12215590922030932,0.07793854342041714,False
browser_type_Firefox,-0.4349026604428127,-0.11119514971149057,0.10653643741564514,True,0.120882456746008,-0.060596441279085214,0.04672649493645012,True
browser_type_Safari,-0.03411025972695017,-0.054201809310447664,0.05042018783651901,False,0.015349022575438132,-0.0777432820421364,0.07510934596129944,False
browser_type_Unknown,-0.46204701465722636,-0.3095180519536426,0.2637042093425782,True,0.8160409493094665,-0.20224012357693802,0.10281803043444263,True
