fold,logloss,f1,auc,precision,recall
0,0.3242461082574204,0.8491484184914841,0.8788840989508491,0.9614325068870524,0.7603485838779956
1,0.32780510914261324,0.8415841584158416,0.879089538972833,0.9714285714285714,0.74235807860262
2,0.2972178930723231,0.8734793187347932,0.8903844962680788,0.9862637362637363,0.7838427947598253
3,0.33954295384850247,0.8229299363057325,0.8755574653906903,0.9877675840978594,0.7052401746724891
4,0.3169740530714935,0.8665850673194615,0.8901870606088762,0.9860724233983287,0.7729257641921398
